t=2025-12-19T11:46:15-0500 lvl=info msg="no configuration paths supplied"
t=2025-12-19T11:46:15-0500 lvl=info msg="using configuration at default config path" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-19T11:46:15-0500 lvl=info msg="open config file" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-19T12:02:09-0500 lvl=info msg="join connections" obj=join id=f4ee4ba197e2 l=[::1]:5173 r=147.9.2.204:36404
t=2025-12-19T12:02:20-0500 lvl=info msg="join connections" obj=join id=0114cf80ef35 l=[::1]:5173 r=147.9.2.204:18392
t=2025-12-19T12:02:20-0500 lvl=info msg="join connections" obj=join id=63dd0b5b51b6 l=[::1]:5173 r=147.9.2.204:18392
t=2025-12-19T12:02:20-0500 lvl=info msg="join connections" obj=join id=59bb2cef492f l=[::1]:5173 r=147.9.2.204:18392
t=2025-12-19T12:02:20-0500 lvl=info msg="join connections" obj=join id=11c00871758f l=[::1]:5173 r=147.9.2.204:18392
t=2025-12-19T12:02:20-0500 lvl=info msg="join connections" obj=join id=de95f955ada2 l=[::1]:5173 r=147.9.2.204:44451
t=2025-12-19T12:06:19-0500 lvl=info msg="join connections" obj=join id=3bc7be3a4bd3 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=9afb03d7a862 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=5906508cef9d l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=4c27fed230a1 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=35ba16fe2c9d l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=8dbc608f5529 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
